,Class ID,Preferred Label,Synonyms,Definitions,Parents
2233,http://edamontology.org/operation_0235,Sequence ambiguity calculation,,"Calculate sequence ambiguity, for example identity regions in protein or nucleotide sequences with many ambiguity codes.",http://edamontology.org/operation_0236
2234,http://edamontology.org/operation_0236,Sequence composition calculation,,Calculate character or word composition or frequency of a molecular sequence.,http://edamontology.org/operation_3438|http://edamontology.org/operation_2403
2235,http://edamontology.org/operation_0237,Repeat sequence analysis,,"Find and/or analyse repeat sequences in (typically nucleotide) sequences.|Repeat sequences include tandem repeats, inverted or palindromic repeats, DNA microsatellites (Simple Sequence Repeats or SSRs), interspersed repeats, maximal duplications and reverse, complemented and reverse complemented repeats etc. Repeat units can be exact or imperfect, in tandem or dispersed, of specified or unspecified length.",http://edamontology.org/operation_2403
2236,http://edamontology.org/operation_0238,Sequence motif discovery,Motif discovery,Discover new motifs or conserved patterns in sequences or sequence alignments (de-novo discovery).|Motifs and patterns might be conserved or over-represented (occur with improbable frequency).,http://edamontology.org/operation_0253|http://edamontology.org/operation_2404
2237,http://edamontology.org/operation_0239,Sequence motif recognition,Sequence signature detection|Sequence signature recognition|Motif scanning|Sequence motif search|Motif detection|Motif search|Sequence profile search|Motif recognition|Sequence motif detection,"Find (scan for) known motifs, patterns and regular expressions in molecular sequence(s).",http://edamontology.org/operation_0253|http://edamontology.org/operation_2404
2238,http://edamontology.org/operation_0240,Sequence motif comparison,,Find motifs shared by molecular sequences.,http://edamontology.org/operation_2451|http://edamontology.org/operation_2404
2242,http://edamontology.org/operation_0244,Simulation analysis,Trajectory analysis|CG analysis|MD analysis|Protein Dynamics Analysis|Protein motion prediction|Nucleic Acid Dynamics Analysis|Protein flexibility prediction|Protein flexibility and motion analysis,"Analyse flexibility and motion in protein structure.|Use this concept for analysis of flexible and rigid residues, local chain deformability, regions undergoing conformational change, molecular vibrations or fluctuational dynamics, domain motions or other large-scale structural transitions in a protein structure.",http://edamontology.org/operation_0250
2243,http://edamontology.org/operation_0245,Structural motif discovery,Protein structural motif recognition|Protein structural feature identification,"Identify or screen for 3D structural motifs in protein structure(s).|This includes conserved substructures and conserved geometry, such as spatial arrangement of secondary structure or protein backbone. Methods might use structure alignment, structural templates, searches for similar electrostatic potential and molecular surface shape, surface-mapping of phylogenetic information etc.",http://edamontology.org/operation_2406|http://edamontology.org/operation_3092
2244,http://edamontology.org/operation_0246,Protein domain recognition,,Identify structural domains in a protein structure from first principles (for example calculations on structural compactness).,http://edamontology.org/operation_2406|http://edamontology.org/operation_3092
2245,http://edamontology.org/operation_0247,Protein architecture analysis,,Analyse the architecture (spatial arrangement of secondary structure) of protein structure(s).,http://edamontology.org/operation_2406
2246,http://edamontology.org/operation_0248,Residue interaction calculation,,"Calculate or extract inter-atomic, inter-residue or residue-atom contacts, distances and interactions in protein structure(s).",http://edamontology.org/operation_0250
2247,http://edamontology.org/operation_0249,Protein geometry calculation,Cysteine torsion angle calculation|Torsion angle calculation|Backbone torsion angle calculation|Tau angle calculation,"Calculate, visualise or analyse phi/psi angles of a protein structure.",http://edamontology.org/operation_0250
2248,http://edamontology.org/operation_0250,Protein property calculation,Protein property rendering|Protein property calculation (from structure)|Structural property calculation|Protein structural property calculation|Protein property calculation (from sequence),"Extract, calculate or predict non-positional (physical or chemical) properties of a protein, including any non-positional properties of the molecular sequence, from processing a protein sequence or 3D structure.|This includes methods to render and visualise the properties of a protein sequence, and a residue-level search for properties such as solvent accessibility, hydropathy, secondary structure, ligand-binding etc.",http://edamontology.org/operation_2423|http://edamontology.org/operation_3438
2249,http://edamontology.org/operation_0252,Peptide immunogenicity prediction,Immunogen design|Immunogenicity prediction|Antigenicity prediction|B cell peptide immunogenicity prediction|Hopp and Woods plotting|MHC peptide immunogenicity prediction,"Predict antigenicity, allergenicity / immunogenicity, allergic cross-reactivity etc of peptides and proteins.|This includes methods that generate a graphical rendering of antigenicity of a protein, such as a Hopp and Woods plot.|This is usually done in the development of peptide-specific antibodies or multi-epitope vaccines. Methods might use sequence data (for example motifs) and / or structural data.|Immunological system are cellular or humoral. In vaccine design to induces a cellular immune response, methods must search for antigens that can be recognized by the major histocompatibility complex (MHC) molecules present in T lymphocytes.  If a humoral response is required, antigens for B cells must be identified.",http://edamontology.org/operation_1777|http://edamontology.org/operation_0250
2250,http://edamontology.org/operation_0253,Sequence feature detection,Sequence feature recognition|Sequence feature prediction|Motif database search|SO:0000110,"Predict, recognise and identify positional features in molecular sequences such as key functional sites or regions.|Look at ""Protein feature detection"" (http://edamontology.org/operation_3092) and ""Nucleic acid feature detection"" (http://edamontology.org/operation_0415) in case more specific terms are needed.",http://edamontology.org/operation_2423|http://edamontology.org/operation_2403
